run,sigOBS,sigPRO,muEI1,muI1S1,muI1I2,muI2S2,muS2S1,rho,bT,q,c,delta,S1_0,S2_0,E_0,I1_0,I2_0,K_0,F_0,loglik,loglik.se
6,0.383500745,0.223974165,38.07699137,14.47789403,26.99690457,0.6855,0.029970846,0.947177981,0.691265281,0.949417678,0.454714392,0.02,0.585512136,0.002212274,0.000485323,0.019309856,0.392480411,0.073905739,0.024496945,-366.892823,0.178575883
26,0.463188894,0.16592029,49.0757165,4.201630945,27.59274989,0.6857,0.072716165,0.991618808,0.708582035,0.976643885,0.135303973,0.02,0.672971939,0.001411384,0.000152062,0.118620517,0.206844099,0.052281184,0.031000424,-366.8995465,0.042067854
15,0.385902518,0.269130265,15.25386465,4.546013018,23.61719719,0.1491,0.007671105,0.994199492,0.609761484,0.950327058,0.995127922,0.02,0.615479666,0.051473271,0.00067308,0.016904678,0.315469304,0.149108002,0.033506044,-366.9262535,0.27562367
6,0.314822528,0.285169205,34.54639394,8.406618047,12.54673781,0.6855,0.139725644,0.973146356,0.82124907,0.940079808,0.013629225,0.02,0.269582862,0.023333749,0.000631369,0.440465545,0.265986474,0.066293136,0.00328346,-366.9507263,0.126995133
15,0.33237393,0.322180496,14.81904645,7.737534863,29.0290325,0.1491,0.005611071,0.984422019,0.760620258,0.80682635,0.956960959,0.02,0.614774137,0.011902693,0.00089279,0.01980905,0.352621329,0.018587654,0.051833034,-366.9614042,0.323538864
6,0.422227655,0.218880843,39.43797411,13.63841109,19.60876424,0.6855,0.110370959,0.980590293,0.763946397,0.98585825,0.119018735,0.02,0.488696942,0.003883986,0.000171598,0.001270396,0.505977079,0.065906143,0.038357695,-367.031486,0.142575874
7,0.603825747,0.043166812,34.16212062,7.485985668,20.21020373,0.3189,0.003421089,0.987714033,0.732944127,0.969551965,0.059776946,0.02,0.562673595,0.002301511,0.00032007,0.039247118,0.395457707,0.026878166,0.027170764,-367.0669581,0.014148757
3,0.365517069,0.290596417,19.31670975,7.252831106,20.24238051,0.4902,0.016485807,0.865322511,0.691312642,0.976073199,0.993483811,0.02,0.633318112,0.003899747,0.000474442,0.000574124,0.361733575,0.001339868,0.055524889,-367.0800373,0.07919031
13,0.602557738,0.096941112,32.89597146,1.674324366,21.53840208,0.1083,0.003871029,0.859373306,0.689692348,0.992100237,0.659699874,0.02,0.687916781,0.000126016,0.000261535,0.311589117,0.000106551,0.060674192,0.066061994,-367.197749,0.043986613
15,0.280957018,0.303115168,19.80383851,8.420914806,26.00569891,0.1491,0.005793905,0.971525915,0.743555627,0.80564772,0.815144037,0.02,0.551227358,0.014308574,0.000107467,0.040110022,0.394246579,0.04577205,0.053200068,-367.2177185,0.188415434
6,0.291446058,0.256058728,35.96205556,13.9902565,11.89865338,0.6855,0.096605619,0.896987451,0.75245397,0.952921692,0.162073808,0.02,0.361330421,0.004696317,0.000406563,0.10571463,0.527852069,0.071568378,0.03468704,-367.2593368,0.081416539
7,0.629532673,0.00434309,36.9503554,8.179811926,34.33708243,0.3189,0.006145379,0.942446017,0.701172565,0.987358308,0.119725997,0.02,0.606623839,0.006936208,0.000153188,0.004307535,0.38197923,0.009356187,0.033019126,-367.2734545,0.002935148
15,0.404032035,0.2918746,15.22723211,3.340295908,12.11045456,0.1491,0.000780708,0.979837087,0.60019837,0.933297687,0.888236736,0.02,0.596118275,0.018924876,0.000288123,0.059113384,0.325555343,0.115210278,0.022813053,-367.2774515,0.264013772
6,0.403396187,0.250988413,28.12052398,6.065729485,30.35691144,0.6855,0.049025105,0.961380322,0.751547056,0.959032787,0.321097372,0.02,0.680571623,0.006400409,0.000430031,0.298359928,0.014238009,0.073036616,0.016709645,-367.3146897,0.045881809
26,0.229666433,0.299596466,32.42865665,27.1715957,12.54421973,0.6857,0.071363644,0.969679251,0.746888939,0.95001936,0.321227954,0.02,0.202079877,0.001682372,0.000742905,0.247485372,0.548009475,0.007893861,0.029778637,-367.3232475,0.07985541
15,0.350538994,0.304049629,15.18099962,6.815606783,31.85027428,0.1491,0.005350178,0.989000786,0.605499157,0.881775816,0.994799204,0.02,0.482803416,0.010699087,0.000578489,0.49946986,0.006449149,0.079829595,0.076342835,-367.3548093,0.14906857
13,0.469496192,0.183083423,40.1184776,2.72650767,22.88562727,0.1083,0.002883474,0.835453435,0.699469166,0.940752496,0.383907661,0.02,0.637636448,0.007186181,0.000995437,0.35400258,0.000179354,0.081832857,0.025603557,-367.380005,0.123833809
13,0.622435952,0.044984526,48.88541054,0.938553564,18.65275984,0.1083,0.004930394,0.901144941,0.667471995,0.971813469,0.928561685,0.02,0.662344059,0.000635669,0.000796044,0.331972983,0.004251244,0.136030868,0.029449173,-367.4097472,0.024365847
19,0.384773836,0.225211756,55.219154,1.11852142,7.896267606,0.7475,0.005157581,0.978529342,0.618934354,0.977341195,0.991435909,0.02,0.633828033,0.006391428,0.000327484,0.358405231,0.001047824,0.120475063,0.016248527,-367.4415745,0.249653469
3,0.389459695,0.289356726,14.98101473,3.731859319,8.249293568,0.4902,0.00909764,0.85183372,0.634688768,0.965106812,0.875881788,0.02,0.504492699,0.0278225,0.000771406,0.428832927,0.038080468,0.012763951,0.116607281,-367.5302594,0.166957832
25,0.352669942,0.268823053,27.17946544,8.924526414,13.71123957,0.868,0.189086633,0.954388227,0.752533028,0.990547293,0.042714175,0.02,0.470066408,0.002022935,0.000427691,0.106507139,0.420975827,0.022861609,0.032923261,-367.5462377,0.131250934
3,0.426817729,0.309666209,14.29302172,3.911592328,6.956748861,0.4902,0.0058224,0.917895558,0.752297118,0.964494249,0.693303455,0.02,0.596824768,0.015998593,0.001123814,0.000272265,0.385780561,0.012133637,0.071572401,-367.5490848,0.205299189
15,0.324010865,0.248774658,20.33934815,12.28738528,39.09147536,0.1491,0.005134352,0.823917936,0.695425485,0.902653499,0.97733431,0.02,0.528786832,0.010674182,0.00044782,0.444538254,0.015552911,0.093195736,0.090742872,-367.5672195,0.380798952
3,0.303355432,0.312337583,15.22575411,4.014418482,7.004889955,0.4902,0.010133982,0.866127958,0.752490661,0.839882156,0.868672566,0.02,0.648080153,0.002280994,0.000189072,3.89E-05,0.349410863,0.013953364,0.120562677,-367.6159667,0.133364809
13,0.60904721,0.067218527,49.72306589,1.262668447,14.71214542,0.1083,0.004430432,0.854174127,0.680102227,0.973507988,0.770341707,0.02,0.667079157,0.014179419,0.000625851,0.31763187,0.000483704,0.082625774,0.061944106,-367.6182882,0.027736678
13,0.575146338,0.093398331,41.33114023,0.920456266,12.18079283,0.1083,0.006864736,0.873770977,0.708946134,0.959640811,0.867401464,0.02,0.663809159,0.000683109,0.002069836,0.33006995,0.003367946,0.017774748,0.063751105,-367.7319188,0.052511757
9,0.197149865,0.28562169,53.5370288,5.512367566,3.995115332,0.8406,0.06845285,0.981245012,0.802661704,0.844577205,0.653973893,0.02,0.126782945,0.013343794,0.000714223,0.435283249,0.423875788,0.035217504,0.038145228,-367.7432104,0.365710615
9,0.237363012,0.266124734,59.72558119,13.29027158,12.10910711,0.8406,0.16726102,0.975028381,0.873350662,0.960774519,0.085959157,0.02,0.496535704,0.008999244,0.000331162,0.077318583,0.416815308,0.050242081,0.016566265,-367.7564055,0.195650233
15,0.360959591,0.353029815,15.25788505,7.036542978,24.97121717,0.1491,0.007238094,0.977937842,0.62487419,0.945400024,0.966048979,0.02,0.602421915,0.035106246,0.000913171,0.087448879,0.27410979,0.039648716,0.047868053,-367.8029664,0.254371709
13,0.567616108,0.107022661,41.56362455,2.598254065,35.40969127,0.1083,0.0076758,0.872531594,0.616269131,0.975334279,0.755521437,0.02,0.700946631,0.009749967,0.000793797,0.278081284,0.010428321,0.070994199,0.026878071,-367.8092592,0.062927765
19,0.288295646,0.283360932,48.93421194,5.220810632,6.507262476,0.7475,0.015721214,0.964670264,0.680055762,0.964914678,0.99880525,0.02,0.07554309,0.038827797,0.001528719,0.883926003,0.00017439,0.083874879,0.02546673,-367.8230215,0.333033195
6,0.396239757,0.304836951,30.89115395,12.34977068,14.20145974,0.6855,0.068186318,0.98905534,0.818592081,0.939312395,0.237267027,0.02,0.483213502,0.002560889,0.000317909,0.005037926,0.508869774,0.087849047,0.005883579,-367.8488227,0.106055069
13,0.591827119,0.069372562,39.816515,1.849913289,18.52289023,0.1083,0.005213106,0.876003312,0.70219935,0.969557963,0.512540486,0.02,0.659825685,0.001174974,0.002408682,0.333055138,0.003535521,0.059592056,0.06950552,-367.8916742,0.028533614
3,0.328726365,0.333267996,16.745007,10.30509935,14.29257555,0.4902,0.006269503,0.780318236,0.835738991,0.931488263,0.995913923,0.02,0.584592825,0.0111547,0.000845146,0.056120974,0.347286355,0.003480689,0.030854665,-367.9039615,0.23228679
25,0.317671975,0.271975131,25.43269017,9.245738264,21.85162661,0.868,0.233343868,0.924524408,0.777581036,0.949594978,0.033054028,0.02,0.498412412,0.005593477,0.000594033,0.068156723,0.427243355,0.051403845,0.020340211,-368.0263115,0.315517767
19,0.479045747,0.169397328,48.92771461,1.223048763,2.072413814,0.7475,0.005479024,0.941417321,0.750978038,0.945641546,0.994455077,0.02,0.267230723,0.002377572,0.000793539,0.728579217,0.001018949,0.153536278,0.14465237,-368.1774525,0.081183868
13,0.624455866,0.04755749,40.62465216,1.226162462,16.97433029,0.1083,0.009352321,0.866574812,0.680861949,0.979780541,0.946385786,0.02,0.690629682,0.001499463,0.002152794,0.30501418,0.000703882,0.124845601,0.046160765,-368.1909522,0.030928308
26,0.361579299,0.249903174,31.63104438,9.997239419,15.94301285,0.6857,0.104021216,0.980690094,0.604378451,0.972486596,0.13213859,0.02,0.213099228,0.006130535,3.83E-05,0.7152114,0.065520535,0.053397726,0.032594876,-368.2046347,0.164267287
25,0.358332629,0.270334958,25.48902577,10.23307002,11.36643668,0.868,0.207292689,0.898413928,0.840937256,0.975090114,0.098901353,0.02,0.043930155,0.000137492,0.000564547,0.952435407,0.0029324,0.104406055,0.098464962,-368.2187788,0.191599288
26,0.42784063,0.274472459,36.0178907,5.882203786,6.8680368,0.6857,0.116453294,0.893737939,0.965150814,0.975909949,0.09839528,0.02,0.076039573,0.010866602,0.000364682,0.906016358,0.006712784,0.06584625,0.03629419,-368.334084,0.138999367
16,0.395112208,0.235033666,37.2133001,10.06091233,42.59171991,0.3246,0.007338112,0.979424233,0.681040228,0.837858144,0.460989193,0.02,0.539713676,0.001492338,0.00149814,0.390904935,0.066390911,0.08630483,0.060608572,-368.4683488,0.096223859
6,0.253584426,0.308726671,46.33606983,9.325196554,7.165054873,0.6855,0.11536598,0.910898312,0.827964404,0.896534425,0.06333517,0.02,0.119988657,0.015385899,0.000661654,0.59828159,0.265682201,0.050956412,0.084499524,-368.4711061,0.36325903
25,0.311388307,0.267000098,26.85615497,12.93414967,20.30668983,0.868,0.139677836,0.946025449,0.636161659,0.976241362,0.317808726,0.02,0.554439891,0.003314134,0.000302027,0.033585793,0.408358156,0.061735893,0.027630926,-368.5388691,0.196656549
10,0.404643741,0.308459899,16.57081829,5.2086726,7.223701824,0.9583,0.123872214,0.977653913,0.75012044,0.978954643,0.430735142,0.02,0.079760736,0.004734392,0.000568099,0.907492734,0.007444039,0.09555887,0.059768794,-368.6632853,0.231568128
10,0.257737295,0.32881868,16.71001633,6.507063799,15.10185129,0.9583,0.201011788,0.972436689,0.752241008,0.983390652,0.069807905,0.02,0.518050154,0.001522678,0.000128505,0.010878878,0.469419786,0.051793012,0.092529991,-368.6920758,0.299145417
18,0.292886765,0.247131441,59.79224339,1.961826257,2.933384697,0.3173,0.001752648,0.821719451,0.67744899,0.794518577,0.605536849,0.02,0.609862059,0.000564628,0.001275643,0.003120957,0.385176713,0.03160524,0.017161171,-368.7329207,0.183613902
25,0.389655767,0.286778101,25.06844999,12.84896781,23.72058949,0.868,0.170161536,0.952211675,0.780969386,0.974074456,0.254981904,0.02,0.495181624,0.003001501,0.000236396,0.076020276,0.425560203,0.029896483,0.078045006,-368.7417663,0.203505114
10,0.313160717,0.324301143,21.33905489,4.348130109,5.289741181,0.9583,0.254869808,0.965638789,0.746417311,0.942166123,0.009940897,0.02,0.007436456,0.000744364,0.000116411,0.989354137,0.002348633,0.050036922,0.302479992,-368.7660704,0.184558933
3,0.391184753,0.333641433,13.50867179,8.356945494,21.71013965,0.4902,0.019200985,0.827198845,0.798461802,0.942534574,0.997304501,0.02,0.585832222,0.024939581,0.000871918,0.373541905,0.014814375,0.001460894,0.048457607,-368.7815,0.17788487
9,0.222906192,0.288913362,59.87364795,7.411938306,3.977295466,0.8406,0.263418233,0.984348114,0.847679233,0.975279401,0.073680075,0.02,0.492801458,0.013061826,0.000969398,0.005961704,0.487205614,0.04504804,0.006382045,-368.7865359,0.260624681
3,0.397700076,0.278409781,13.3979303,6.930197993,9.718831262,0.4902,0.012241117,0.886687767,0.683094398,0.878506846,0.998710208,0.02,0.521286782,0.009235057,0.000329,0.018666425,0.450482736,0.030687981,0.100238612,-368.7958411,0.089841513
9,0.303854143,0.282449842,52.67598739,5.042398635,2.986446296,0.8406,0.167680372,0.984239536,0.877284779,0.990298122,0.165589493,0.02,0.533795894,0.018785031,0.00054703,0.039513235,0.407358811,0.025213051,0.01425659,-368.8792728,0.156205892
25,0.366772592,0.302781104,19.15963344,14.39574667,30.87374925,0.868,0.199660849,0.985588728,0.835435367,0.918696011,0.071414437,0.02,0.524495143,0.007318263,0.000973431,0.004120283,0.46309288,0.105311439,0.045331901,-368.8884479,0.132882171
10,0.293255404,0.324867826,17.90888944,2.683350354,4.293199155,0.9583,0.281806355,0.959457078,0.827006693,0.910832612,0.088423319,0.02,0.152095425,0.003062089,0.000309081,0.803435808,0.041097597,0.010713839,0.091357439,-368.9144882,0.44818445
9,0.217488258,0.270359014,63.85834347,4.271516248,2.028795972,0.8406,0.090410007,0.956055108,1.03782872,0.99581493,0.473624913,0.02,0.026896127,0.001023811,0.00048526,0.593044784,0.378550017,0.123879502,0.07175333,-368.9190146,0.159063837
3,0.363441739,0.302420013,16.70137073,6.734496425,10.48143276,0.4902,0.014943581,0.775864379,0.690246627,0.937568369,0.975474973,0.02,0.666237675,0.008087113,0.000703244,0.003217571,0.321754398,0.022871422,0.08353327,-369.091147,0.174296205
25,0.305013438,0.299424905,25.97030461,11.48793705,7.762223837,0.868,0.255763368,0.935618869,0.80645776,0.936120582,0.078187811,0.02,0.478622555,0.001531562,0.000737743,0.003298434,0.515809705,0.078396233,0.019840665,-369.0996228,0.271776097
3,0.376041827,0.355809737,14.46546288,10.83661866,14.75921349,0.4902,0.018710829,0.888631129,0.830258411,0.872174776,0.910794881,0.02,0.573275239,0.037735858,0.00014304,0.000735841,0.388110022,0.014872471,0.066911563,-369.101085,0.126233184
1,0.193708859,0.307033462,47.72530787,1.146733703,3.379333268,1.6133,0.206392065,0.982053741,0.744927694,0.998819106,0.870359153,0.02,0.434639803,0.001161701,0.00041825,0.40996197,0.153818275,0.003356659,0.028739182,-369.1335524,0.3675695
6,0.377956441,0.321974765,31.52343334,14.40426927,10.96424806,0.6855,0.061636125,0.963119755,0.756312713,0.954254215,0.297019749,0.02,0.359457493,0.005527561,0.001208719,0.200597579,0.433208647,0.014511789,0.004138881,-369.2174542,0.102712109
9,0.314518431,0.282423988,82.19118551,17.33230607,4.258181626,0.8406,0.230909837,0.998127759,0.823769702,0.987054548,0.268134012,0.02,0.180858774,0.019788819,0.000299422,0.252073799,0.546979185,0.088477627,0.035929538,-369.2253055,0.268046209
6,0.276153784,0.273364002,35.36218186,13.11171282,20.1115913,0.6855,0.1075599,0.928266881,0.589954035,0.996811705,0.085727123,0.02,0.139941583,0.002653136,0.000747913,0.838427651,0.018229717,0.133139793,0.012886232,-369.2259513,0.131794485
